run_id,epoch,train_loss,val_loss
bs32_ep30_lr0.001_20260827_002806,1,14.097542843705899,12.349920142524528
bs32_ep30_lr0.001_20260827_002806,2,12.309960305690765,11.789795079646822
bs32_ep30_lr0.001_20260827_002806,3,11.990116088575608,11.609614761752603
bs32_ep30_lr0.001_20260827_002806,4,11.786848331826764,11.62680625140755
bs32_ep30_lr0.001_20260827_002806,5,11.719351005715293,11.501743450474704
bs32_ep30_lr0.001_20260827_002806,6,11.609109998152062,11.321142266384784
bs32_ep30_lr0.001_20260827_002806,7,11.561823134285373,11.296097058137024
bs32_ep30_lr0.001_20260827_002806,8,11.506144900781077,11.120841246059761
bs32_ep30_lr0.001_20260827_002806,9,11.509601404336658,11.28458740792211
bs32_ep30_lr0.001_20260827_002806,10,11.433311772306222,11.249304336142153
bs32_ep30_lr0.001_20260827_002806,11,11.44919546935204,11.181691532473092
bs32_ep30_lr0.001_20260827_002806,12,11.421230438391905,11.281691561773574
bs32_ep30_lr0.001_20260827_002806,13,11.411269158326292,11.245351227911044
bs32_ep30_lr0.001_20260827_002806,14,11.401342543597156,11.062893070181504
bs32_ep30_lr0.001_20260827_002806,15,11.365626432404325,11.082881940872666
bs32_ep30_lr0.001_20260827_002806,16,11.354086972370341,11.133078118018597
bs32_ep30_lr0.001_20260827_002806,17,11.35709787180295,11.178108014595562
bs32_ep30_lr0.001_20260827_002806,18,11.31458997827124,11.340690940310367
bs32_ep30_lr0.001_20260827_002806,19,11.342819463360954,11.153624101438762
bs32_ep30_lr0.001_20260827_002806,20,11.316107874987898,11.185035168156137
bs32_ep30_lr0.001_20260827_002806,21,11.303710350112334,11.162965824544166
bs32_ep30_lr0.001_20260827_002806,22,11.316755608126924,11.121577743941607
bs32_ep30_lr0.001_20260827_002806,23,11.309289757061649,11.080725162737126
bs32_ep30_lr0.001_20260827_002806,24,11.295423277326533,11.115103261685618
bs32_ep30_lr0.001_20260827_002806,25,11.291364057442626,11.17184902540514
bs32_ep30_lr0.001_20260827_002806,26,11.279528854062429,11.102290676122578
bs32_ep30_lr0.001_20260827_002806,27,11.301148423471966,11.20205426462644
bs32_ep30_lr0.001_20260827_002806,28,11.286676197035893,11.098880919255041
bs32_ep30_lr0.001_20260827_002806,29,11.292987496868983,11.115256975109151
bs32_ep30_lr0.001_20260827_002806,30,11.273214437268877,11.132913373245623

bs128_ep30_lr0.001_20260827_012345,1,16.492375174084223,13.873236016666189
bs128_ep30_lr0.001_20260827_012345,2,13.175167281885404,12.632104514626896
bs128_ep30_lr0.001_20260827_012345,3,12.467415282855162,12.104846982394948
